crop,temperature,rainfall,N,P,K,ph,humidity,fertilizer_used,irrigation_used,yield_tons_per_ha
soybeans,38.44,1089.41,123.4,94.4,82.5,6.267,20.48,0,1,0.689
maize,18.92,183.5,83.9,92.3,134.7,5.238,15.3,1,0,2.436
soybeans,27.48,757.52,26.1,130.3,54.7,4.094,78.5,0,0,1.74
soybeans,15.72,851.62,35.5,138.8,10.7,4.798,34.84,1,0,1.569
cassava,17.69,817.3,134.5,17.5,141.6,9.755,39.85,1,1,3.402
rice,33.09,863.97,123.6,78.9,108.5,7.256,78.44,1,0,1.912
wheat,17.84,573.69,69.0,55.3,115.5,5.051,68.64,1,0,2.03
maize,18.63,494.83,49.4,92.0,71.8,8.263,48.79,0,1,2.133
rice,34.18,562.54,89.9,39.4,26.9,8.663,22.51,0,1,2.31
cotton,27.2,104.35,52.4,84.2,164.4,6.348,96.57,0,1,0.911
maize,33.0,896.38,109.5,110.2,165.6,6.867,26.07,1,1,2.786
maize,32.1,1330.34,28.4,87.3,145.2,7.921,49.1,0,1,1.627
soybeans,27.14,698.7,92.3,12.1,103.7,5.424,42.05,1,0,1.232
maize,11.71,459.17,36.6,39.6,186.3,5.122,37.39,1,0,1.901
maize,32.36,675.91,17.9,44.7,77.6,7.698,63.09,0,1,2.16
maize,22.82,528.91,79.0,124.1,45.3,9.574,73.26,1,1,3.199
rice,14.15,687.22,69.5,61.5,140.7,6.236,96.68,1,1,2.249
cassava,22.35,190.49,33.0,12.2,204.2,8.288,21.52,0,1,9.26
cassava,15.41,1137.62,28.6,101.3,74.9,6.827,94.31,0,1,3.57
cotton,22.04,875.0,78.2,21.7,11.9,8.689,76.43,0,0,1.151
maize,14.35,759.71,138.0,38.9,139.4,8.451,34.44,1,0,2.622
wheat,34.81,1282.21,32.6,49.1,170.0,4.016,42.02,1,0,1.025
cassava,25.64,1040.75,37.7,88.8,93.8,7.38,39.02,1,1,4.549
soybeans,18.5,978.13,85.1,26.5,46.3,7.541,25.03,0,1,1.09
cotton,26.63,559.41,124.7,16.4,98.3,8.541,19.24,1,1,1.399
maize,38.93,345.46,73.3,45.2,163.6,7.254,68.57,1,0,2.186
cotton,26.29,487.66,92.5,49.7,91.2,3.84,99.36,1,0,1.224
maize,20.6,393.46,109.3,43.5,169.5,6.254,71.41,0,1,3.032
wheat,35.56,1269.28,14.7,138.0,41.5,6.193,32.5,1,1,1.107
soybeans,11.05,1165.39,101.2,140.0,191.1,8.455,58.76,0,1,0.703
rice,20.78,739.27,50.9,94.7,185.3,4.565,46.8,0,1,1.864
wheat,17.94,1346.02,13.4,62.6,86.4,9.275,32.53,1,0,1.123
soybeans,22.91,643.8,52.5,134.6,170.8,4.208,23.3,1,0,1.854
rice,30.62,521.86,13.3,141.6,62.3,6.255,69.89,0,1,1.929
rice,38.55,513.6,121.5,128.4,75.0,4.041,76.31,0,1,2.38
rice,16.83,896.59,52.0,67.8,112.4,4.823,27.39,1,0,1.283
maize,34.33,972.13,54.3,99.4,57.0,5.744,92.9,0,0,2.069
maize,39.99,1495.12,77.8,112.7,194.0,9.023,35.27,1,0,1.775
soybeans,13.58,1389.85,10.9,135.2,146.4,5.643,47.6,1,1,1.072
soybeans,22.83,979.62,133.5,122.5,90.2,7.691,29.23,1,1,0.827
soybeans,10.37,298.36,117.3,8.0,51.6,8.422,64.41,1,1,0.718
cassava,25.03,926.32,42.4,33.1,113.5,6.361,47.55,1,1,5.008
rice,15.11,607.55,48.6,65.5,161.4,6.647,82.29,1,0,2.167
cassava,31.64,1144.92,30.9,75.1,75.0,8.517,67.53,1,1,4.681
wheat,14.38,114.38,22.3,139.1,150.5,6.93,94.97,1,1,1.792
wheat,33.58,186.26,136.5,21.3,159.6,5.893,88.41,0,0,1.506
cassava,24.03,771.25,61.2,60.0,104.9,6.935,73.5,1,0,5.311
maize,33.02,632.8,67.2,92.9,179.7,9.897,80.07,1,0,2.162
rice,34.68,801.57,64.7,49.0,121.2,8.244,49.34,1,1,2.054
cotton,26.57,1186.21,97.6,132.1,182.2,8.624,54.87,0,1,1.543
wheat,23.71,1231.15,43.6,85.6,46.7,6.005,87.75,0,1,1.514
cotton,21.89,1050.88,103.6,76.4,198.9,9.712,49.47,1,1,1.279
cotton,12.77,1054.61,30.0,135.9,108.3,6.491,51.35,1,0,0.94
cassava,40.0,984.06,97.2,73.8,75.9,8.784,56.56,1,0,3.864
cassava,34.14,1242.11,66.2,31.9,24.9,8.332,90.22,1,0,5.024
rice,11.57,1044.03,61.1,32.3,168.2,8.717,55.83,0,1,1.068
cassava,16.49,783.46,135.2,137.6,141.7,8.686,29.17,1,1,3.427
cotton,33.29,1192.45,4.8,131.9,188.7,7.149,55.46,0,1,0.93
maize,34.54,224.3,76.2,5.8,69.9,5.882,48.07,1,0,1.978
wheat,28.23,1105.13,67.5,39.4,129.2,7.005,28.72,1,0,1.701
soybeans,24.14,1320.71,62.1,44.9,184.2,9.1,28.11,0,0,0.838
cotton,28.62,633.35,3.6,71.7,93.4,8.42,38.05,0,0,0.792
wheat,16.13,565.73,10.4,124.9,177.0,6.184,66.64,1,1,1.803
maize,10.25,365.62,92.6,72.8,6.1,8.729,80.46,1,0,2.251
soybeans,16.48,1332.48,12.0,67.2,174.9,7.503,39.14,1,1,1.143
cotton,29.97,339.46,37.6,66.6,94.2,8.534,45.6,0,0,0.932
soybeans,20.8,659.78,13.8,10.9,139.8,6.993,52.2,1,1,1.89
cassava,36.08,1496.97,81.9,110.2,45.5,7.839,69.88,1,1,4.927
maize,14.88,1114.83,29.2,13.2,115.5,7.369,88.98,1,0,1.893
wheat,12.0,614.7,93.8,19.9,102.8,6.377,32.58,0,1,2.12
cotton,29.23,53.02,135.5,37.5,188.4,4.209,34.48,0,1,0.734
maize,12.0,801.69,21.0,108.2,107.4,7.921,17.58,0,1,1.693
cassava,33.24,655.15,136.1,108.0,8.1,9.22,22.67,0,1,2.924
cotton,33.12,1471.09,133.2,130.9,36.7,9.444,89.55,0,0,0.886
maize,38.9,67.62,135.8,11.0,183.2,6.93,99.39,0,1,1.847
rice,25.82,1398.31,67.7,73.7,28.9,8.717,35.24,1,1,1.561
cassava,36.59,487.97,100.0,90.7,90.4,5.054,45.74,1,0,5.495
soybeans,30.35,1157.8,138.9,53.4,87.2,4.577,31.55,1,1,0.758
rice,16.43,143.51,80.4,92.1,106.1,8.811,88.05,1,0,3.269
cassava,13.93,1312.46,3.2,49.2,41.9,9.555,71.58,1,1,2.593
maize,26.99,503.53,91.6,37.5,7.9,8.468,67.64,1,0,2.565
maize,20.67,1092.62,41.6,84.3,100.2,7.814,94.57,1,0,1.979
cassava,30.36,1219.27,92.7,50.9,80.2,9.331,15.47,1,1,4.802
wheat,38.79,655.98,43.9,141.4,192.2,7.673,15.59,1,0,1.595
rice,34.06,680.07,121.7,30.3,194.5,4.922,42.05,1,0,2.063
wheat,20.22,1364.03,76.3,70.2,162.4,4.159,80.54,0,0,1.206
cotton,22.86,1170.13,67.4,115.5,19.7,4.745,61.43,1,0,1.078
maize,17.87,661.48,5.6,67.9,120.5,7.211,42.59,0,0,1.7
cotton,38.55,135.75,137.7,125.1,137.1,8.277,20.25,0,0,0.78
maize,21.24,1428.54,102.5,88.8,36.2,4.514,19.0,1,1,2.151
maize,22.47,671.97,75.7,102.5,145.4,4.616,57.01,1,1,3.05
soybeans,33.9,467.92,27.2,141.4,77.3,7.409,66.46,1,1,1.991
cassava,32.13,1206.26,34.6,105.2,167.4,5.831,28.42,0,1,4.487
wheat,26.37,1170.4,47.7,109.8,93.5,5.952,42.64,1,1,1.992
soybeans,24.01,1395.37,36.0,42.8,87.3,5.082,25.11,1,1,1.548
rice,28.74,459.68,52.9,19.4,148.8,6.775,74.95,0,0,2.911
cassava,39.51,875.16,28.4,46.0,143.7,9.511,29.37,0,1,3.383
soybeans,22.95,1455.56,19.6,87.2,45.2,8.635,81.4,0,1,1.283
cotton,24.11,1471.13,27.3,94.1,120.1,7.173,66.9,1,0,1.069
cassava,30.12,365.85,94.7,17.8,34.4,6.807,93.28,1,1,8.274
rice,13.44,1495.64,59.6,53.8,147.0,5.865,85.66,1,1,1.237
rice,10.25,1266.85,4.5,136.6,183.4,6.981,60.75,1,0,0.877
rice,25.97,160.01,97.8,92.3,42.8,6.551,75.95,1,0,3.632
cotton,38.36,1496.44,136.7,62.4,55.1,8.43,39.74,1,1,1.283
soybeans,18.47,519.03,49.2,13.9,202.2,3.705,70.97,0,1,1.77
cassava,33.23,928.57,69.2,132.8,80.4,4.93,66.3,1,0,4.663
cassava,36.13,318.45,31.6,97.6,98.8,6.746,25.02,1,1,9.392
rice,35.34,656.66,61.7,93.8,159.9,3.72,65.01,0,0,1.977
maize,10.76,564.51,109.2,83.9,57.2,8.017,62.8,1,1,2.551
maize,38.9,862.24,131.2,12.3,88.8,5.191,76.85,1,0,2.194
cassava,21.63,397.68,52.1,20.5,199.2,7.23,24.99,0,1,7.039
soybeans,28.28,448.62,100.4,88.3,70.0,3.665,78.51,0,1,1.087
cotton,15.85,792.72,61.4,42.9,37.1,5.523,57.75,0,0,1.058
wheat,22.48,551.74,8.1,135.3,18.2,8.317,46.52,1,0,1.57
soybeans,27.46,1306.97,133.5,99.5,114.8,3.523,17.44,0,0,0.435
cotton,14.17,729.73,139.8,27.2,194.5,8.858,97.61,0,0,0.768
wheat,24.95,923.19,4.5,9.6,149.3,4.755,70.09,1,1,1.254
cotton,33.25,994.9,32.8,25.4,130.8,6.428,28.53,0,0,1.139
maize,19.95,775.84,90.4,76.5,29.0,5.528,83.01,1,0,2.803
cotton,31.8,1423.31,35.4,108.9,15.9,7.603,44.17,1,1,1.337
cotton,15.6,1468.73,100.4,40.1,123.2,6.972,86.62,1,1,1.353
cotton,31.61,1226.12,19.4,73.2,54.7,4.593,77.15,1,0,1.213
maize,38.54,1492.49,99.6,142.4,118.9,5.187,51.58,1,0,1.909
cassava,24.94,836.18,42.1,98.4,134.0,7.256,23.78,1,0,4.846
wheat,31.58,485.52,105.5,15.3,109.7,4.295,39.23,0,1,1.932
rice,32.71,1478.55,113.4,69.4,185.8,6.164,59.14,1,0,1.564
cotton,33.8,305.4,114.4,43.7,189.5,8.109,81.53,0,1,1.068
maize,24.62,673.48,83.6,144.9,158.9,6.086,85.17,0,0,2.38
cassava,22.09,1495.63,24.3,25.4,188.0,9.233,16.77,1,1,3.885
maize,34.0,345.85,77.7,107.6,128.2,4.722,44.56,1,1,2.28
wheat,25.58,478.69,75.6,85.3,120.5,9.039,47.52,1,0,2.027
cassava,39.9,483.29,45.4,30.6,184.2,8.339,23.09,1,1,7.579
wheat,16.11,1258.39,28.6,39.8,43.4,4.528,95.98,1,1,1.66
cassava,25.17,1056.64,24.2,124.4,33.0,6.105,20.47,1,1,4.726
cassava,10.87,1473.25,87.5,75.1,81.7,7.006,46.69,0,0,2.881
maize,35.38,939.73,12.4,73.3,20.5,6.149,49.01,0,0,1.688
rice,19.05,323.04,42.5,18.0,33.8,4.18,50.37,1,0,3.186
cassava,23.16,1209.36,64.7,25.8,149.8,4.714,77.52,1,0,4.464
soybeans,17.63,1170.16,37.2,34.2,193.9,3.625,97.02,0,1,1.25
maize,28.32,468.51,81.4,26.6,101.2,6.962,18.46,0,0,2.393
wheat,23.89,1368.96,59.7,93.2,12.1,4.006,20.99,1,0,1.464
cotton,17.36,1167.8,112.6,39.9,13.4,4.827,31.26,0,1,1.173
rice,32.99,490.94,113.6,46.1,94.3,8.226,73.59,1,0,3.216
wheat,29.77,1291.2,102.5,34.6,98.4,9.872,61.69,1,1,1.741
wheat,36.97,337.24,13.8,101.7,169.6,9.028,69.18,1,1,1.48
cassava,16.48,1078.62,130.9,84.1,127.3,3.948,88.35,0,1,2.939
rice,12.85,340.68,57.9,33.9,180.3,4.529,53.19,1,1,2.787
wheat,13.42,991.2,62.5,35.4,75.7,6.699,21.87,1,1,2.215
soybeans,38.65,750.86,46.4,30.4,53.9,8.914,66.84,1,0,1.668
cotton,32.5,1192.2,80.4,17.6,183.0,9.777,31.4,1,1,1.399
cassava,11.52,1330.57,117.8,53.4,128.6,6.682,97.18,1,1,3.677
rice,23.92,243.26,129.9,126.5,146.5,4.19,80.73,1,1,3.49
cassava,18.08,1328.98,7.7,136.7,117.1,7.782,45.62,1,0,3.058
maize,39.67,750.69,138.2,110.6,54.7,7.0,99.32,1,0,2.778
wheat,13.25,829.63,114.7,57.9,75.5,5.702,93.39,0,0,1.401
cassava,19.97,1263.24,100.3,54.0,151.9,9.613,22.01,0,0,2.779
wheat,10.09,556.39,10.0,109.1,117.2,7.219,38.64,1,0,1.707
maize,17.26,1480.66,19.9,74.8,128.6,8.066,62.13,0,0,1.228
maize,27.47,1134.71,113.6,96.9,30.6,5.699,93.82,0,0,1.872
maize,36.18,1270.8,26.1,117.4,96.6,6.639,25.48,0,1,1.305
cotton,15.98,840.04,136.3,102.3,103.3,8.55,77.42,1,0,1.196
soybeans,15.04,550.9,106.6,138.6,79.3,8.891,30.41,1,1,0.948
cassava,31.62,1000.96,21.7,42.5,83.6,5.32,33.59,1,1,4.202
rice,26.98,277.99,96.7,76.9,135.1,9.283,51.88,1,1,3.934
soybeans,26.1,1140.22,19.6,53.8,82.9,6.823,93.9,1,0,1.608
cassava,24.91,389.76,27.1,36.2,146.7,3.763,18.42,1,1,6.716
maize,32.79,541.29,133.3,108.3,124.5,9.226,18.27,0,0,2.252
soybeans,24.37,201.6,85.7,108.3,158.5,9.385,49.21,1,1,1.044
wheat,38.4,293.31,36.7,118.6,108.7,6.445,75.11,1,1,1.758
maize,13.56,1471.82,30.1,14.4,124.0,8.303,16.79,1,1,1.411
wheat,28.8,1487.28,124.7,88.0,112.7,9.99,61.08,1,1,1.275
rice,28.19,538.54,82.0,49.2,22.4,4.949,30.17,1,1,3.391
maize,11.45,572.07,134.0,75.1,91.5,6.475,31.96,0,0,2.311
soybeans,29.29,1298.64,68.1,23.8,62.9,7.806,66.73,1,1,1.379
cassava,29.51,1029.93,87.5,92.2,34.4,7.034,47.2,1,1,4.777
maize,35.11,454.95,90.0,102.2,107.5,5.485,32.29,0,0,2.366
wheat,31.38,63.44,38.7,24.9,30.5,9.734,46.38,1,1,1.222
cassava,36.99,1125.63,136.1,88.9,53.3,5.63,41.51,0,1,3.063
soybeans,15.68,573.8,120.7,64.4,188.1,6.737,48.3,1,0,0.79
cotton,19.77,403.38,87.4,67.6,187.1,6.696,58.01,1,1,1.473
cotton,31.65,169.36,52.5,13.8,109.4,7.745,28.74,0,1,1.0
rice,28.9,655.21,20.2,18.1,8.3,9.178,34.34,0,1,1.54
cotton,13.49,712.5,137.8,77.0,153.4,7.939,87.09,0,1,1.025
cotton,33.38,1102.5,133.3,108.3,143.6,5.201,93.53,0,1,1.084
cassava,22.35,206.34,55.1,107.8,189.3,5.136,44.55,0,1,10.434
soybeans,31.92,955.29,33.3,75.5,190.2,8.798,41.79,1,1,1.616
cotton,37.81,1067.99,58.0,88.8,91.0,6.525,90.27,0,0,1.163
rice,13.81,134.88,42.8,27.1,39.8,8.445,15.36,1,0,3.512
maize,20.39,553.08,103.3,68.3,49.9,6.441,26.11,0,0,2.661
maize,35.66,1070.3,66.4,18.7,103.3,6.578,28.9,1,0,2.598
maize,20.64,631.02,16.1,128.7,88.0,6.017,70.73,1,1,2.438
cassava,34.66,594.18,100.4,60.3,51.5,5.729,20.1,0,0,3.746
cotton,14.68,721.12,30.9,108.4,10.5,7.106,28.58,0,1,0.9
soybeans,23.68,1432.22,119.1,25.3,11.0,9.568,59.3,1,1,0.549
cassava,36.13,985.96,132.5,44.4,124.1,7.986,47.79,1,1,4.223
rice,21.93,537.65,32.8,72.3,115.4,7.607,36.11,1,0,2.583
wheat,24.94,1204.6,93.0,107.2,66.5,5.211,65.68,0,1,1.527
soybeans,36.56,574.31,130.5,93.3,191.8,8.422,22.9,0,0,0.631
maize,39.48,412.46,10.3,97.8,124.1,6.198,50.31,1,0,1.825
maize,36.04,709.37,72.2,73.4,138.4,4.408,16.58,0,1,2.412
cotton,17.08,1223.42,49.5,131.1,162.5,3.98,49.01,0,1,1.164
soybeans,31.18,824.58,95.0,127.3,91.5,6.183,79.73,1,0,1.165
maize,26.56,682.38,41.2,137.8,157.7,4.411,88.69,1,1,2.441
soybeans,23.4,575.97,2.4,78.1,72.0,3.509,40.48,0,0,1.161
cassava,33.32,1117.77,135.5,21.1,121.1,7.998,90.55,1,1,3.409
wheat,14.5,926.52,66.8,5.6,200.1,5.772,36.21,0,0,1.844
maize,21.32,1447.91,12.5,101.2,103.8,6.02,68.41,1,0,1.693
rice,31.22,326.05,51.3,19.8,130.6,4.289,98.79,1,0,3.151
soybeans,26.65,466.46,131.6,111.7,199.5,3.744,38.52,0,0,0.679
rice,19.6,783.76,22.8,139.4,175.3,9.115,48.98,1,0,1.337
cassava,39.16,1090.13,116.8,6.8,75.9,8.328,20.71,1,0,3.433
wheat,26.33,243.18,0.8,44.3,126.0,8.126,85.09,1,0,1.341
rice,39.76,1045.64,117.8,63.1,158.6,3.763,24.57,0,0,0.995
cotton,27.39,1194.78,58.0,87.7,16.1,9.907,82.8,1,1,1.363
rice,23.5,1294.64,134.0,74.9,191.3,7.292,60.3,1,0,1.616
cotton,38.63,1413.77,113.6,35.9,111.5,4.958,36.33,1,0,1.224
cassava,39.74,113.58,32.8,60.5,95.0,9.489,62.16,0,0,9.133
maize,28.54,1309.91,79.9,9.3,191.2,7.982,72.18,0,1,2.471
maize,30.37,1401.02,139.6,105.8,62.4,9.218,18.23,0,1,1.937
soybeans,29.51,1147.64,104.9,76.4,167.2,6.341,24.65,1,1,0.972
maize,35.64,543.01,121.8,17.3,160.4,9.009,29.64,1,0,2.531
rice,27.14,1432.03,72.3,119.7,114.4,3.765,41.09,1,1,1.51
wheat,25.62,1234.08,119.2,38.0,124.9,9.063,49.15,1,1,1.627
soybeans,23.44,1284.36,108.6,45.3,69.8,7.913,62.44,0,0,0.645
soybeans,35.89,654.17,104.1,124.9,67.0,6.053,44.66,1,0,0.852
maize,18.9,557.07,108.5,97.6,42.0,4.632,22.46,1,1,3.226
soybeans,18.01,688.21,111.4,90.4,27.1,7.58,30.06,1,1,0.992
wheat,37.22,875.95,123.2,120.3,21.0,4.847,26.49,1,1,1.669
wheat,32.32,911.16,11.0,129.5,128.3,5.555,17.93,1,0,1.26
cassava,15.71,715.26,85.9,39.8,65.1,7.488,95.33,1,1,4.563
wheat,26.76,859.53,99.4,105.4,52.0,8.506,15.69,1,0,1.747
cotton,14.78,305.34,128.6,20.5,178.4,7.038,17.36,1,1,1.114
cotton,12.45,387.22,134.7,75.1,84.6,8.96,21.51,1,0,0.928
cassava,31.02,1290.66,65.4,121.9,40.5,4.535,70.54,1,1,4.942
cassava,26.9,1063.41,112.2,105.9,145.0,9.731,65.3,1,1,4.305
maize,33.24,983.66,74.2,10.9,198.7,8.692,39.18,1,1,2.394
soybeans,11.47,535.38,71.3,79.5,58.5,9.425,45.67,0,0,0.867
rice,27.39,833.32,7.0,13.8,42.5,3.711,77.93,1,0,1.204
cotton,30.25,470.72,121.8,109.7,89.9,8.118,88.62,1,1,1.192
wheat,34.96,181.37,49.6,138.3,144.8,8.407,79.15,0,0,1.148
wheat,25.8,870.95,24.7,74.8,188.6,7.132,35.94,0,0,1.442
wheat,36.97,375.27,84.6,65.7,81.6,4.194,25.54,1,1,2.109
maize,37.58,664.47,47.9,139.6,94.0,6.679,44.24,1,1,2.4
cassava,34.18,823.76,14.8,116.6,195.6,3.89,47.66,1,0,3.804
soybeans,36.67,1409.85,7.5,75.1,80.0,7.568,82.25,0,1,1.108
cotton,38.46,656.92,120.9,40.9,119.2,8.985,93.18,1,1,1.254
rice,37.45,276.73,105.3,84.6,59.9,6.584,42.7,1,1,4.814
soybeans,38.41,924.22,81.1,37.5,14.3,9.644,40.98,1,0,0.996
soybeans,15.32,1300.88,55.0,5.6,59.8,7.385,82.74,0,0,1.097
wheat,35.09,727.48,45.0,83.6,57.1,6.108,42.6,1,1,1.828
soybeans,32.69,210.34,117.4,82.8,143.0,9.814,21.2,1,0,0.588
rice,31.19,1184.84,63.7,102.7,82.6,4.539,48.24,1,1,1.578
maize,37.58,770.6,138.9,124.2,46.7,9.549,24.01,1,0,2.357
cassava,36.38,274.13,120.6,51.1,78.6,3.754,42.11,1,0,7.722
rice,38.15,227.65,29.7,9.1,91.8,5.306,88.81,1,1,4.065
maize,11.29,309.69,54.9,137.7,33.2,8.463,23.35,1,0,1.942
rice,24.93,360.56,8.4,50.6,33.7,8.115,59.9,0,0,2.202
rice,39.52,78.86,97.9,40.4,13.1,6.119,94.43,0,1,3.449
cassava,36.39,694.77,130.4,74.4,143.8,3.95,78.08,0,0,2.804
maize,22.27,301.28,21.9,40.0,114.8,8.145,70.78,0,1,1.856
wheat,37.42,981.8,94.4,106.0,57.1,7.287,86.43,0,1,1.433
maize,27.96,650.5,134.1,80.8,126.0,4.933,67.81,1,0,2.771
rice,36.33,345.79,115.7,83.1,15.9,9.817,58.08,0,0,3.058
wheat,22.69,1383.66,89.9,60.8,57.7,9.384,15.4,0,1,1.393
wheat,18.5,919.39,60.2,5.9,166.5,4.298,57.86,0,0,1.702
soybeans,29.61,261.51,25.9,33.6,52.7,4.973,47.98,1,0,1.534
cassava,18.75,1197.72,113.1,69.9,41.2,7.704,99.38,1,0,3.767
cassava,39.87,1350.89,41.0,80.7,68.3,8.541,94.01,0,1,3.925
cotton,29.26,776.21,126.4,136.6,37.7,9.044,55.43,1,1,1.166
rice,37.16,170.41,26.7,66.7,122.0,8.805,98.99,0,0,2.624
wheat,39.02,1321.67,39.3,76.0,16.3,5.065,80.64,0,0,1.016
wheat,29.45,1427.35,120.1,116.2,195.3,5.0,67.07,1,1,1.504
maize,27.8,73.55,102.0,50.3,138.0,7.118,43.47,0,0,1.738
maize,14.2,652.94,76.8,61.4,108.9,9.977,25.63,1,0,2.196
soybeans,25.47,876.07,31.0,110.9,66.9,9.494,70.48,1,1,1.785
maize,33.82,949.11,74.7,130.1,162.7,4.486,40.81,0,1,2.208
cassava,26.52,413.23,52.0,18.5,50.3,9.335,98.25,1,1,7.559
wheat,37.2,1314.43,100.6,8.4,73.3,7.935,25.1,1,1,1.283
rice,17.4,716.44,88.0,83.0,153.5,5.318,62.59,0,0,1.948
soybeans,20.59,715.16,137.4,32.9,18.1,9.086,88.69,1,1,0.813
cassava,11.83,806.97,53.2,11.3,72.0,6.044,99.13,0,1,3.255
cassava,17.95,160.77,109.0,14.8,116.3,5.111,34.94,1,1,10.308
maize,28.97,276.89,66.3,105.3,59.2,4.815,40.99,0,0,2.082
maize,35.11,948.31,78.9,92.4,177.9,7.315,63.96,1,1,3.178
soybeans,33.41,1146.02,113.9,5.6,105.2,8.081,27.36,1,0,0.682
rice,35.93,498.58,97.2,7.3,79.5,5.786,60.74,0,1,3.227
cotton,11.36,204.48,114.0,92.3,43.2,6.131,60.33,1,0,0.981
cassava,22.84,635.33,99.8,133.5,138.4,6.565,81.01,1,0,4.551
cotton,25.68,747.63,44.0,24.3,153.5,9.219,95.2,0,1,1.007
rice,24.34,565.16,95.6,97.7,148.1,5.243,41.15,0,1,2.841
wheat,35.08,905.2,88.6,134.1,191.0,7.818,14.67,0,1,1.754
cassava,33.61,954.4,117.5,111.3,124.8,9.747,30.48,1,0,3.194
cassava,28.43,663.73,86.5,52.8,10.8,6.068,94.02,1,0,4.366
soybeans,16.33,157.78,40.4,92.8,118.2,7.479,61.24,0,0,1.352
rice,10.93,1423.01,33.7,38.6,21.7,9.535,63.86,1,1,1.118
cotton,10.95,1466.67,27.8,20.4,120.4,4.02,65.81,1,0,0.81
cotton,22.17,535.02,48.2,111.5,121.9,3.748,89.46,0,1,1.05
cassava,34.08,1009.03,45.5,77.3,94.0,5.703,86.94,1,1,4.883
cassava,39.02,686.65,133.0,106.3,19.1,7.932,73.06,1,0,3.481
maize,16.04,622.95,5.5,71.6,113.6,4.98,96.91,1,1,2.238
cotton,10.08,505.3,20.6,35.8,7.2,4.977,42.61,0,1,0.71
wheat,15.1,407.41,60.3,51.4,122.1,5.696,47.79,1,1,2.328
cotton,27.62,1355.49,66.2,125.0,190.5,4.101,22.24,1,1,1.168
rice,14.09,335.2,7.7,32.7,6.8,7.577,41.21,1,0,2.262
soybeans,33.44,269.8,90.6,133.4,141.0,8.772,23.37,0,1,1.033
cassava,35.32,1118.62,125.6,50.2,22.6,3.878,87.28,1,1,3.698
soybeans,15.23,951.73,3.5,60.9,202.2,4.155,50.44,0,1,1.088
soybeans,31.25,148.49,15.1,76.2,98.0,9.685,95.26,1,1,1.227
wheat,31.04,1309.66,14.1,38.4,9.8,3.785,16.55,1,0,1.076
cotton,25.61,554.06,35.5,39.1,25.0,8.812,21.45,0,0,1.009
soybeans,18.54,1441.91,53.1,6.3,61.8,4.275,22.84,0,1,1.148
cotton,30.59,396.13,117.0,106.1,51.8,9.837,71.17,1,0,0.954
soybeans,13.43,1123.44,107.8,140.7,159.7,5.082,17.45,1,0,0.688
wheat,18.97,913.5,139.7,77.5,192.3,8.611,82.44,1,0,1.96
maize,13.89,421.87,49.7,99.4,17.5,4.868,83.58,0,0,1.715
soybeans,22.11,627.89,23.8,58.6,179.3,5.86,95.84,1,0,2.014
wheat,35.0,187.11,56.5,32.9,180.2,8.082,16.18,0,0,1.46
rice,30.48,961.66,37.3,10.5,96.1,9.291,62.98,1,1,1.386
soybeans,35.52,1433.85,29.5,75.6,141.1,5.109,65.64,0,0,1.056
